City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph)
saint anthony,1,60,45.02,-93.22,38.5,9.17
vitoria do mearim,91,85,-3.46,-44.87,83.07,1.36
hazleton,1,17,40.96,-75.97,44.76,9.17
empalme,40,39,27.97,-110.82,82.72,6.49
quesnel,1,50,53.0,-122.5,33.8,8.05
hailar,65,92,49.2,119.7,3.31,7.96
constitucion,12,64,-35.33,-72.42,65.26,8.59
georgetown,20,69,5.41,100.34,79.56,4.7
port lincoln,3,78,-34.73,135.87,64.4,9.08
vagay,28,98,57.94,69.02,8.13,0.87
leningradskiy,100,96,69.38,178.42,-12.39,9.48
vestmanna,88,74,62.16,-7.17,35.6,11.41
severo-kurilsk,84,89,50.68,156.12,11.95,5.32
kavieng,22,74,-2.57,150.8,83.25,5.75
poitiers,90,81,46.58,0.33,49.84,8.05
saskylakh,73,94,71.92,114.08,-16.1,4.12
seydi,81,65,39.48,62.91,48.2,11.68
bilma,73,12,18.69,12.92,75.04,11.54
haines junction,63,98,60.75,-137.51,4.96,5.75
kostino,98,91,58.91,53.27,31.37,9.89
north bend,1,87,43.41,-124.22,45.82,3.36
torbay,75,67,47.67,-52.73,25.36,20.8
vila velha,40,83,-20.33,-40.29,80.85,12.75
tirunelveli,100,86,8.73,77.7,70.12,7.94
luba,62,85,3.46,8.55,80.96,9.08
pitimbu,40,70,-7.47,-34.81,87.8,11.41
itoman,40,68,26.12,127.67,62.62,18.34
ovsyanka,40,85,55.96,92.55,23.0,2.24
jurm,0,43,36.86,70.83,24.98,9.66
bundaberg,75,69,-24.85,152.35,75.63,8.05
olafsvik,99,70,64.89,-23.71,29.07,8.55
mahon,25,87,39.89,4.27,51.8,5.82
mount isa,40,65,-20.73,139.5,80.6,6.93
brainerd,1,51,46.36,-94.2,36.19,6.93
logan,1,59,41.74,-111.83,33.78,3.36
aklavik,75,83,68.22,-135.01,-2.33,3.36
lagos,20,79,6.58,3.75,86.0,6.93
larsnes,75,80,62.2,5.58,36.18,27.51
kisoro,100,93,-1.29,29.68,55.13,0.43
pombas,75,60,17.15,-25.02,71.6,31.09
trujillo,40,78,-8.12,-79.03,77.0,9.17
nantucket,1,48,41.28,-70.1,41.23,18.34
sangerhausen,40,61,51.47,11.3,49.32,26.4
kruisfontein,44,91,-34.0,24.73,65.61,16.62
talakan,0,98,50.32,130.37,-7.13,4.14
kalavad,0,27,22.22,70.38,71.37,11.86
carora,76,41,10.18,-70.08,85.84,7.54
kaitangata,59,70,-46.28,169.85,51.01,3.0
puerto narino,75,89,-3.77,-70.38,84.2,5.59
ilulissat,75,54,69.22,-51.1,1.4,8.05
esperance,90,72,-33.87,121.9,68.0,8.05
mahanoro,100,74,-19.9,48.8,81.64,10.27
moron,0,40,-34.65,-58.62,74.1,6.93
daru,99,90,-9.08,143.21,76.75,6.26
zatoka,0,59,46.07,30.47,35.6,2.24
bud,1,28,39.45,-86.18,45.36,10.29
banjar,40,88,-8.19,114.97,82.4,11.41
yar-sale,94,91,66.83,70.83,17.8,19.26
oranjemund,0,79,-28.55,16.43,65.79,20.24
longyearbyen,20,59,78.22,15.64,3.2,12.75
arlit,100,10,18.74,7.39,80.26,16.22
salinas,90,76,36.68,-121.66,57.9,11.41
los llanos de aridane,20,64,28.66,-17.92,68.0,10.29
tecoanapa,0,27,16.52,-98.75,96.33,6.98
beringovskiy,15,96,63.05,179.32,-11.22,2.15
clyde river,1,75,70.47,-68.59,-20.2,3.36
omboue,67,93,-1.57,9.26,77.16,3.69
karlovy vary,75,49,50.23,12.87,46.2,14.99
kushima,0,75,31.46,131.23,44.01,11.99
grand gaube,40,83,-20.01,57.66,77.13,6.13
chegdomyn,21,100,51.12,133.02,-9.54,0.36
coronado,75,82,32.69,-117.18,55.09,3.36
mutum,66,82,-19.8,-41.44,80.42,1.45
norman wells,90,77,65.28,-126.83,6.8,5.82
olinda,20,70,-8.01,-34.86,86.0,8.05
boundiali,49,15,9.52,-6.49,97.12,5.41
alofi,100,89,-19.06,-169.92,80.02,11.12
ishigaki,89,82,24.34,124.16,68.49,24.4
luwuk,71,77,-0.95,122.79,81.82,13.44
rio cuarto,1,22,-33.13,-64.35,81.05,11.72
cockburn town,20,69,21.46,-71.14,80.6,9.17
tautira,20,66,-17.73,-149.15,86.0,3.36
jardim,2,45,-21.48,-56.14,82.8,6.78
maarianhamina,75,86,60.1,19.93,39.2,9.17
shkoder,0,36,42.07,19.51,46.4,9.17
fayaoue,0,78,-20.65,166.53,79.47,15.23
havoysund,95,59,71.0,24.66,35.6,16.11
mabaruma,88,61,8.2,-59.78,85.03,2.55
kuandian,0,76,40.73,124.78,20.07,1.07
inhambane,1,83,-23.86,35.38,82.4,2.24
chipurupalle,0,67,18.3,83.57,70.23,1.19
mbini,95,85,1.57,9.61,82.27,6.64
mutoko,69,89,-17.4,32.23,70.79,3.0
kassala,74,37,15.45,36.4,74.86,9.62
lanxi,0,27,29.22,119.48,48.0,3.74
quatre cocos,40,83,-20.21,57.76,77.31,13.82
bauru,75,74,-22.31,-49.06,81.45,9.17
ziarat,12,60,30.38,67.73,43.07,1.48
oktyabrskiy,98,94,54.48,53.47,28.45,4.16
amuntai,100,83,-2.42,115.25,76.15,2.17
talnakh,100,92,69.49,88.4,8.6,20.13
alta floresta,20,70,-9.88,-56.09,86.0,3.36
hofn,100,57,64.25,-15.21,35.67,11.39
fort saint james,0,87,54.43,-124.25,23.32,3.51
allonnes,90,71,47.97,0.16,51.1,11.41
ladario,90,64,-19.0,-57.6,75.97,11.41
santiago,0,39,-33.46,-70.65,81.19,6.93
ippy,38,22,6.27,21.22,85.87,4.68
zyryanka,80,88,65.75,150.85,-15.57,4.29
bathsheba,40,62,13.22,-59.52,86.0,12.75
sao felix do xingu,100,93,-6.64,-51.99,80.47,1.34
gornopravdinsk,0,95,60.05,69.9,6.21,4.72
sarakhs,53,66,36.54,61.16,53.6,2.24
belmonte,40,66,-15.86,-38.88,86.67,19.46
hampstead,1,33,42.87,-71.18,42.75,12.75
geraldton,2,88,-28.77,114.6,71.6,6.93
saint george,75,37,37.1,-113.58,55.87,16.11
manyana,95,57,-23.4,21.72,78.85,14.79
wilkie,1,73,52.42,-108.7,26.02,5.82
urzhum,100,90,57.11,50.0,30.07,10.76
sept-iles,75,55,50.2,-66.38,34.45,14.99
jingdezhen,0,72,29.29,117.21,47.17,4.0
tocopilla,89,45,-22.09,-70.2,75.49,13.53
puerto leguizamo,87,46,-0.19,-74.78,92.3,3.71
beyneu,1,75,45.32,55.2,36.19,10.27
san cristobal,40,65,7.77,-72.22,82.4,6.93
touros,75,70,-5.2,-35.46,86.0,11.41
ngunguru,29,90,-35.62,174.5,61.0,5.01
hami,51,54,42.8,93.45,30.24,2.01
guerande,90,93,47.33,-2.43,51.28,11.41
houston,1,44,29.76,-95.36,60.31,6.93
muli,100,75,2.92,73.57,83.68,13.56
kodiak,20,66,57.79,-152.41,12.2,4.7
namibe,90,85,-15.2,12.15,74.52,16.71
anan,20,39,33.92,134.65,49.35,10.29
den helder,90,81,52.96,4.76,48.87,24.16
camana,71,67,-16.62,-72.71,74.57,12.19
andros town,40,69,24.7,-77.77,70.07,20.8
ramnagar,0,71,29.4,79.12,58.32,4.85
ancud,0,32,-41.87,-73.82,80.6,9.17
vardo,86,79,70.37,31.11,35.4,33.87
cordoba,40,56,-31.41,-64.18,70.41,9.17
faya,100,33,18.39,42.45,63.46,4.7
sao joao da barra,75,74,-21.64,-41.05,80.6,17.22
lompoc,90,58,34.64,-120.46,59.61,2.39
puerto escondido,20,70,15.85,-97.07,84.2,3.76
chapar,91,51,26.27,90.47,68.56,1.32
soto la marina,38,59,23.77,-98.22,68.81,6.73
camacha,20,82,33.08,-16.33,65.17,25.28
wanning,61,87,18.8,110.4,65.16,3.49
singaparna,86,95,-7.35,108.11,71.55,2.35
pisco,40,30,-13.7,-76.22,74.88,8.05
vagur,77,71,61.47,-6.81,41.27,12.75
spirit river,20,58,55.78,-118.84,31.21,26.4
kununurra,75,88,-15.77,128.73,73.4,2.17
khandagayty,100,97,50.73,92.05,-2.49,1.1
herat,55,50,34.5,62.0,51.8,3.36
puerto baquerizo moreno,28,86,-0.9,-89.6,79.05,9.17
atbasar,99,93,51.8,68.33,22.73,5.12
ponta delgada,20,72,37.73,-25.67,59.0,9.17
itupiranga,75,74,-5.13,-49.33,86.0,3.36
port-gentil,20,83,-0.72,8.78,82.4,4.7
trairi,100,92,-3.28,-39.27,76.08,2.55
meulaboh,62,72,4.14,96.13,83.05,7.4
denpasar,40,88,-8.65,115.22,82.4,11.41
saint-philippe,65,78,-21.36,55.77,73.04,4.7
port said,53,64,31.26,32.28,59.54,16.17
muhos,90,95,64.75,26.17,32.47,10.29
konza,20,82,-1.74,37.13,69.75,9.17
souillac,40,83,-20.52,57.52,77.49,7.47
rio grande city,100,52,26.38,-98.82,62.62,8.05
pochutla,20,52,15.74,-96.47,88.45,11.41
berbera,44,78,10.44,45.01,78.53,14.12
loandjili,75,89,-4.76,11.86,84.2,6.93
ostersund,100,72,63.18,14.64,32.29,16.11
mandalgovi,87,62,45.76,106.27,19.51,13.71
warrington,75,87,53.39,-2.58,44.2,12.75
malanje,98,93,-9.54,16.34,70.61,3.0
beloha,40,84,-25.17,45.05,76.82,2.3
ayna,75,63,-12.65,-73.92,64.4,5.82
angoche,77,94,-16.23,39.91,77.32,5.19
fairhaven,1,22,41.64,-70.9,44.67,12.75
porto santo,20,82,33.07,-16.34,65.17,25.28
elesbao veloso,96,79,-6.2,-42.14,84.11,4.09
san quintin,70,71,30.48,-115.95,61.65,9.55
riyadh,0,35,24.69,46.72,69.8,5.82
ambon,40,78,-3.7,128.18,82.4,5.82
goundam,59,7,16.41,-3.67,91.49,10.71
crystal beach,40,64,42.87,-79.06,36.73,25.28
makakilo city,75,93,21.35,-158.09,71.11,7.72
jega,62,12,12.22,4.38,89.85,9.31
wiefelstede,75,66,53.26,8.12,48.4,18.34
umea,90,95,63.83,20.26,32.0,9.17
ouro preto do oeste,100,84,-10.75,-62.22,76.06,6.82
barguzin,100,96,53.62,109.62,13.14,0.78
thinadhoo,100,78,0.53,72.93,82.17,12.44
kerman,36,37,30.28,57.08,51.8,6.93
hagere selam,77,60,6.48,38.52,59.29,8.32
thompson,20,61,55.74,-97.86,17.6,4.7
bandarbeyla,0,77,9.49,50.81,77.27,17.72
pilar,40,66,-9.6,-35.96,87.8,12.75
santa cruz,75,47,-17.8,-63.17,79.66,21.92
caravelas,55,84,-17.71,-39.25,81.88,16.02
xuddur,6,30,4.12,43.89,83.17,11.63
olovyannaya,100,91,50.95,115.57,9.9,3.78
koslan,100,89,63.46,48.9,32.45,16.44
bardiyah,58,74,31.76,25.09,57.0,18.43
aripuana,100,97,-9.17,-60.63,75.42,1.66
xushan,0,87,30.18,121.25,42.8,3.83
yulara,0,19,-25.24,130.99,75.2,8.05
fereydun kenar,86,93,36.69,52.52,48.2,2.24
lagoa,8,79,39.05,-27.98,60.17,12.39
rognan,75,93,67.1,15.39,36.57,20.8
baghdad,76,48,33.34,44.4,64.4,13.87
vuktyl,100,86,63.86,57.31,32.07,14.88
eureka,90,93,40.8,-124.16,48.43,1.43
sabang,12,74,5.89,95.32,83.16,26.6
faanui,3,77,-16.48,-151.75,81.46,10.83
beaverlodge,20,58,55.22,-119.44,30.2,26.4
aykhal,97,83,66.0,111.5,-7.6,2.24
flinders,75,93,-34.58,150.86,65.21,15.23
soyo,99,88,-6.13,12.37,82.6,11.92
aksarka,95,90,66.56,67.8,17.58,19.73
tochio,95,86,37.47,139.0,40.46,1.99
masuda,20,45,34.67,131.85,45.72,9.17
ipixuna,75,78,-1.76,-48.8,82.4,4.7
ponnani,20,74,10.77,75.93,80.6,3.36
noumea,3,83,-22.28,166.46,75.81,14.52
waipawa,100,82,-41.41,175.52,54.64,24.16
idil,100,91,37.34,41.89,42.17,5.3
kavaratti,100,74,10.57,72.64,82.38,6.11
cumbitara,75,82,1.65,-77.58,68.0,4.7
hualmay,94,50,-11.1,-77.61,82.35,9.78
campina verde,100,94,-19.54,-49.49,73.31,3.2
esmeraldas,40,48,-19.76,-44.31,86.02,8.05
iquique,71,57,-20.22,-70.14,78.8,18.34
tazovskiy,94,89,67.47,78.7,9.5,18.05
general pico,0,14,-35.66,-63.76,81.99,9.31
rio gallegos,66,33,-51.62,-69.22,75.2,19.46
ocos,20,55,14.51,-92.19,90.48,5.82
severomuysk,96,96,56.15,113.43,0.18,2.21
acapulco,5,70,16.86,-99.89,86.0,6.93
marsh harbour,0,68,26.54,-77.06,69.42,23.69
tam ky,40,83,15.57,108.48,71.6,2.24
ankazoabo,93,94,-22.28,44.52,71.87,7.25
mersing,0,88,2.43,103.84,80.6,13.87
san juan,0,23,-31.54,-68.54,79.77,4.16
kjollefjord,51,76,70.95,27.35,33.42,20.47
bjornevatn,68,69,69.67,29.98,35.6,29.97
triunfo,75,38,-29.94,-51.72,74.91,9.17
port blair,31,76,11.67,92.75,81.27,12.55
buraydah,0,37,26.33,43.98,69.8,13.87
puruaran,5,50,19.1,-101.53,75.07,9.17
wawa,1,28,9.9,4.42,90.46,2.35
kloulklubed,90,88,7.04,134.26,78.8,11.41
luganville,20,100,-15.53,167.17,71.6,1.12
erdemli,5,76,36.6,34.31,58.66,16.96
havelock,1,34,34.88,-76.9,49.01,5.82
egvekinot,96,99,66.32,-179.17,-27.38,2.68
luderitz,0,77,-26.65,15.16,66.2,21.92
ukiah,1,57,39.15,-123.21,57.31,1.99
la ronge,90,51,55.1,-105.28,35.6,10.29
sosnovo-ozerskoye,100,96,52.52,111.54,4.86,5.64
le port,20,69,-20.94,55.29,72.93,8.05
san policarpo,16,82,12.18,125.51,77.27,11.63
chardara,64,72,41.25,67.97,45.19,6.89
ginda,11,76,30.69,78.49,44.55,5.41
chake chake,82,79,-5.25,39.77,83.61,19.1
helong,22,86,42.54,129.0,10.17,7.52
shanhetun,8,91,44.7,127.2,7.12,6.8
phalodi,0,44,27.13,72.37,69.21,8.97
deputatskiy,100,99,69.3,139.9,-7.58,0.58
nishihara,40,68,26.18,127.76,62.08,18.34
bony,85,45,47.65,17.87,45.99,10.29
charleston,1,25,32.78,-79.93,50.67,5.82
bandipur,58,63,27.93,84.42,56.5,2.62
charters towers,100,88,-20.1,146.27,75.07,11.63
barra do bugres,100,97,-15.07,-57.18,66.16,5.3
soavinandriana,100,97,-19.17,46.73,67.55,2.66
invermere,99,82,50.52,-116.04,24.01,6.49
eucaliptus,75,52,-17.58,-67.52,64.4,11.41
batagay-alyta,9,81,67.8,130.41,-19.34,2.39
lins,75,76,-21.68,-49.74,82.76,6.49
banda aceh,3,88,5.56,95.32,73.72,3.78
bilibino,100,98,68.05,166.44,-21.21,2.77
te anau,32,74,-45.42,167.72,47.66,3.8
coihueco,0,44,-36.62,-71.83,78.8,3.36
kuching,40,100,1.55,110.33,77.0,2.24
mzimba,100,93,-11.9,33.6,68.36,3.42
stendal,100,99,52.6,11.85,47.5,5.99
lavrentiya,87,99,65.58,-171.0,-16.87,4.41
ahvaz,0,72,31.32,48.67,60.8,2.24
gosainganj,0,75,26.58,82.38,65.48,6.4
nelson bay,93,88,-32.72,152.15,66.34,2.26
chipinge,100,89,-20.19,32.62,71.19,5.3
ringebu,17,91,61.52,10.17,24.01,5.01
poso,97,88,-1.4,120.75,67.14,1.16
moorpark,1,52,34.29,-118.88,59.83,4.7
iquitos,75,100,-3.75,-73.25,42.8,8.05
praya,75,64,14.92,-23.51,73.4,26.4
pouembout,10,95,-21.13,164.9,69.64,3.67
naze,0,63,28.37,129.48,60.8,13.87
lata,16,67,40.16,-8.33,55.8,4.7
porto novo,20,84,6.5,2.6,86.0,12.75
gushikawa,40,68,26.35,127.87,62.01,18.34
jumla,93,74,29.27,82.18,32.99,3.91
dabat,55,27,12.98,37.77,68.45,13.65
barsovo,0,84,61.17,73.17,8.6,6.71
sorland,100,77,67.67,12.69,41.56,18.32
moree,90,73,-29.47,149.85,69.8,8.05
ayorou,74,9,14.73,0.92,88.34,9.51
kerema,61,90,-7.96,145.78,74.95,2.46
mayumba,100,84,-3.43,10.66,82.72,13.78
komsomolskiy,96,86,40.43,71.72,42.76,6.93
mount gambier,0,93,-37.83,140.77,50.0,2.24
chumikan,0,87,54.72,135.31,-0.96,3.42
khorramshahr,0,63,30.44,48.17,65.97,4.7
cabedelo,40,70,-6.98,-34.83,87.8,11.41
whakatane,75,91,-37.96,176.99,57.78,4.68
okha,100,97,53.57,142.95,7.66,2.98
guerrero negro,100,68,27.98,-114.06,62.78,11.41
merauke,100,94,-8.47,140.33,76.51,9.33
puerto del rosario,14,60,28.5,-13.86,71.37,20.8
mnogovershinnyy,1,79,53.94,139.92,-0.45,2.46
zalari,100,94,53.56,102.51,18.12,7.94
namatanai,24,75,-3.67,152.43,83.48,4.14
viseu,10,76,40.66,-7.91,57.18,11.41
khasan,50,54,42.43,130.64,23.77,22.15
umm lajj,0,55,25.02,37.27,63.9,9.19
roald,75,80,62.58,6.13,36.37,27.51
pimenta bueno,100,92,-11.67,-61.19,71.71,7.29
